CS; r^2; p; issig
CyclomaticComplexity ; 0.0122472109655213 ; 0.361746812324052 ; 
NPathComplexity ; 0.0896138100439604 ; 0.0118186587679966 ; *
ExcessiveMethodLength ; 0.0596252258592039 ; 0.0416356446249811 ; *
ExcessiveClassLength ; 0.00379709666120469 ; 0.612327507948404 ; 
ExcessiveParameterList ; 0.065139682002831 ; 0.0329766868470222 ; *
ExcessivePublicCount ; 0.0442462400658413 ; 0.0804949532098835 ; 
TooManyFields ; 0.0355023201258924 ; 0.118268581073941 ; 
TooManyMethods ; 0.013695687706062 ; 0.334634016925562 ; 
TooManyPublicMethods ; 0.000390028964378437 ; 0.871090165540674 ; 
ExcessiveClassComplexity ; 0.00910999853031778 ; 0.431879619345565 ; 
NumberOfChildren ; 0.0158240064597491 ; 0.299436566824835 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0164617534069683 ; 0.289819837710608 ; 
DevelopmentCodeFragment ; 0.0441529965954488 ; 0.0808219888093761 ; 
UnusedPrivateField ; 0.00124799808357596 ; 0.771559379031451 ; 
UnusedLocalVariable ; 0.0484892031517117 ; 0.0669917907070488 ; 
UnusedPrivateMethod ; 0.00240022307167446 ; 0.687125814858776 ; 
UnusedFormalParameter ; 0.0561292290125793 ; 0.0483018563242533 ; *
embed.JS ; 0.100752613355517 ; 0.00741753168084866 ; *
inline.JS ; 0.0806675781291129 ; 0.0171818112210113 ; *
embed.CSS ; 0.0012528499536645 ; 0.771127843363758 ; 
inline.CSS ; 0.0879475982277823 ; 0.0126713345824269 ; *
css.in.JS ; 0.0182040923586937 ; 0.265442858815098 ; 
css.in.JS..jquery ; 0.000909782664809196 ; 0.804234266737065 ; 
max.lines ; 0.0432662270456589 ; 0.0840031563965258 ; 
max.lines.per.function ; 0.00102752494960829 ; 0.792218914683375 ; 
max.params ; 0.0055183399239996 ; 0.541085822239241 ; 
complexity ; 0.000332135763457375 ; 0.880965954712242 ; 
max.depth ; 0.00315262428153015 ; 0.644313823152365 ; 
max.nested.callbacks ; 0.00445951788909281 ; 0.582818778433539 ; 
