id;version1;version2;date1;date2;count
2;2.0;2.0.1;2010-07-21;2010-08-04;40
4;2.0.1;2.0.3;2010-08-04;2010-08-11;13
7;2.0.3;2.0.6;2010-08-11;2010-09-01;18
10;2.0.6;2.0.9;2010-09-01;2010-09-15;19
11;2.0.9;2.0.10;2010-09-15;2010-09-30;16
12;2.0.10;2.0.11;2010-09-30;2010-10-06;5
14;2.0.11;2.0.13;2010-10-06;2010-10-27;35
15;2.0.13;2.0.14;2010-10-27;2010-11-09;15
16;2.0.14;2.0.15;2010-11-09;2010-11-25;41
17;2.0.15;2.0.16;2010-11-25;2010-12-02;9
20;2.0.16;2.0.17.2;2010-12-02;2011-01-18;56
21;2.0.17.2;2.0.17.3;2011-01-18;2011-01-19;1
22;2.0.17.3;2.0.17.4;2011-01-19;2011-01-25;19
24;2.0.17.4;2.0.17.6;2011-01-25;2011-01-26;4
26;2.0.17.6;2.0.17.8;2011-01-26;2011-01-31;8
27;2.0.17.8;2.0.17.9;2011-01-31;2011-03-22;81
28;2.0.17.9;2.0.17.10;2011-03-22;2011-05-23;50
29;2.0.17.10;2.0.16.1;2011-05-23;2011-05-24;0
30;2.0.16.1;2.0.18;2011-05-24;2011-11-03;267
31;2.0.18;2.0.18.1;2011-11-03;2011-11-08;9
32;2.0.18.1;2.0.18.3;2011-11-08;2012-03-05;106
33;2.0.18.3;2.0.18.4;2012-03-05;2012-03-26;17
34;2.0.18.4;2.0.18.5;2012-03-26;2012-04-11;13
35;2.0.18.5;2.0.18.6;2012-04-11;2013-03-22;209
37;2.0.18.6;2.0.18.8;2013-03-22;2013-04-05;12
38;2.0.18.8;2.0.18.9;2013-04-05;2013-11-26;180
39;2.0.18.9;2.0.18.10;2013-11-26;2013-12-22;11
40;2.0.18.10;2.0.18.11;2013-12-22;2014-04-21;111
41;2.0.18.11;2.1;2014-04-21;2014-04-28;12
42;2.1;2.1.1;2014-04-28;2014-08-02;134
43;2.1.1;2.1.2;2014-08-02;2014-09-05;53
44;2.1.2;2.1.3;2014-09-05;2014-09-09;11
45;2.1.3;2.1.6;2014-09-09;2014-11-21;202
46;2.1.6;2.1.7;2014-11-21;2015-01-09;110
47;2.1.7;2.1.8;2015-01-09;2015-01-15;11
49;2.1.8;2.1.8p2;2015-01-15;2015-01-16;5
50;2.1.8p2;2.1.9;2015-01-16;2015-03-18;169
51;2.1.9;2.1.10;2015-03-18;2015-05-04;97
52;2.1.10;2.1.11;2015-05-04;2015-06-12;108
53;2.1.11;2.1.12;2015-06-12;2015-10-15;370
54;2.1.12;2.1.12p3;2015-10-15;2015-10-21;14
55;2.1.12p3;2.1.13p1;2015-10-21;2015-11-02;25
56;2.1.13p1;2.2;2015-11-02;2015-11-11;34
57;2.2;2.2.1;2015-11-11;2016-05-07;607
58;2.2.1;2.3;2016-05-07;2016-11-18;932
59;2.3;2.5;2016-11-18;2017-12-23;1440
60;2.5;2.5.1;2017-12-23;2018-01-25;149
61;2.5.1;2.6;2018-01-25;2018-05-15;739
62;2.6;2.6.1;2018-05-15;2018-08-17;419
63;2.6.1;2.6.3;2018-08-17;2018-09-24;204
64;2.6.3;2.6.4;2018-09-24;2018-10-29;129
65;2.6.4;2.8;2018-10-29;2019-02-07;349
66;2.8;2.8.1;2019-02-07;2019-03-15;211
67;2.8.1;2.8.2;2019-03-15;2019-04-16;169
68;2.8.2;2.8.3;2019-04-16;2019-04-23;15
69;2.8.3;2.8.4;2019-04-23;2019-06-04;179
70;2.8.4;3.0;2019-06-04;2019-06-10;14
71;3.0;3.0.1;2019-06-10;2019-06-11;14
72;3.0.1;3.0.2;2019-06-11;2019-06-20;55
73;3.0.2;3.1;2019-06-20;2019-07-10;40
74;3.1;3.2;2019-07-10;2019-08-29;206
75;3.2;3.3;2019-08-29;2019-10-28;262
76;3.3;next;2019-10-28;2019-12-23;376
